UACE Code,UZA Name,State,Primary UZA, Population ,Density, Square Miles ,State NTD ID,NTD ID,Agency Name,Reporter Type,Reporting Module,Mode,TOS,UZA Reporting Method,FG/NFG Reporting Method,Other FG/NFG Reporting Method Description,Total Actual Vehicle Revenue Hours,Total Unlinked Passenger Trips,Total Actual Vehicle Revenue Miles,Total Passenger Miles Traveled, Total Operating Expenses ,Non0Fixed Guideway Vehicle Revenue Miles,Non0Fixed Guideway Passenger Miles, Non0Fixed Guideway Operating Expenses , Directional Route Miles ,Fixed Guideway Vehicle Revenue Miles,Fixed Guideway Passenger Miles, Fixed Guideway Operating Expenses , SGR FG Directional Route Miles ,SGR FG Vehicle Revenue Miles, SGR HIB Directional Route Miles ,SGR HIB Vehicle Revenue Miles
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,1,King County,Full Reporter,Urban,DR,PT, Actual Data,,,552077,888663,6710756,6470644,72095003,6710756,6470644,72095003,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,1,King County,Full Reporter,Urban,DR,PT, Other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,1,King County,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,59116,121496,1377744,1509526,5658724,1377744,1509526,5658724,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,1,King County,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,1,King County,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,5697,399687,52310,1479694,8625721,0,0,0,24,52310,1479694,8625721,24,52310,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,1,King County,Full Reporter,Urban,FB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,1,King County,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,2763099,63485248,29575605,244710079,710359423,28690004,237382571,689088683,19.1,885601,7327508,21270740,18.6,875266,177,2425139
53,Washington Non0UZA,Washington,N,1895776,0,0,,1,King County,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,1,King County,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,83273,623887,983035,2376398,15507155,983035,2376398,15507155,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,1,King County,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,1,King County,Full Reporter,Urban,SR,DO, Actual Vehicle Revenue Miles,,,36982,1411817,177754,1556379,13964269,0,0,0,7.9,177754,1556379,13964269,7.9,177754,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,1,King County,Full Reporter,Urban,SR,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,1,King County,Full Reporter,Urban,TB,DO, Actual Vehicle Revenue Miles,,,385828,10851566,2575445,20078748,92304429,0,0,0,116.9,2575445,20078748,92304429,116.9,2575445,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,1,King County,Full Reporter,Urban,TB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,1,King County,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,224129,1104484,6705162,23349034,10179899,6705162,23349034,10179899,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,1,King County,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Data,,,156,392,2435,3266,27919,2435,3266,27919,0,0,0,0,0,0,0,0
83764,"Spokane, WA",Washington,Y,447279,2605.41,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,77897,195580,1215069,1629650,13931872,1215069,1629650,13931872,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Other,,,142,330,2198,2731,13990,2198,2731,13990,0,0,0,0,0,0,0,0
83764,"Spokane, WA",Washington,Y,447279,2605.41,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,70695,164625,1096951,1362959,6981824,1096951,1362959,6981824,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,19277,348939,266136,1575060,3383225,266136,1575060,3383225,0,0,0,0,0,0,0,0
83764,"Spokane, WA",Washington,Y,447279,2605.41,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,475005,8598218,6557866,38811099,83366134,6557866,38811099,83366134,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,15017,50337,534719,1543628,409705,534719,1543628,409705,0,0,0,0,0,0,0,0
83764,"Spokane, WA",Washington,Y,447279,2605.41,171.67,,2,Spokane Transit Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,13519,45318,481412,1389741,368861,481412,1389741,368861,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,20994,41887,287743,310358,3337404,287743,310358,3337404,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,DR,PT, Actual Data,,,132763,236511,1807533,1821091,15308323,1807533,1821091,15308323,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,387392,6101806,4371847,26326548,76259695,4371847,26326548,76259695,0,0,0,0,0,0,11,46491
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,3,Pierce County Transportation Benefit Area Authority,Full Reporter,Urban,VP,DO, Actual Vehicle Revenue Miles,,,102663,412041,3421086,11904323,4524209,3421086,11904323,4524209,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,Y,1895776,0,0,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,FB,DO, Actual Vehicle Revenue Miles,,,5362,130971,19992,0,2175505,19992,0,2175505,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,Y,1895776,0,0,,4,Confederated Tribes of the Colville Indian Reservation,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,1824,2747,64904,0,231960,64904,0,231960,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,5,City of Everett,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,32043,75085,366516,390242,6550415,366516,390242,6550415,0,0,0,0,0,0,0,0
80389,"Seattle00Tacoma, WA",Washington,Y,3544011,3607.07,982.52,,5,City of Everett,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,100706,1329885,1195863,4803479,20785261,1195863,4803479,20785261,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,1888,10397,59466,342891,282267,59466,342891,282267,0,0,0,0,0,0,0,0
97507,"Yakima, WA",Washington,Y,133145,2387.36,55.77,,6,City of Yakima,Full Reporter,Urban,CB,PT, Actual Vehicle Revenue Miles,,,2831,15595,89197,514325,423392,89197,514325,423392,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,6,City of Yakima,Full Reporter,Urban,DR,PT, Other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97507,"Yakima, WA",Washington,Y,133145,2387.36,55.77,,6,City of Yakima,Full Reporter,Urban,DR,PT, Actual Data,,,32951,46137,303614,162905,1841665,303614,162905,1841665,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,N,1895776,0,0,,6,City of Yakima,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97507,"Yakima, WA",Washington,Y,133145,2387.36,55.77,,6,City of Yakima,Full Reporter,Urban,MB,DO, Actual Data,,,56088,574582,738964,2415244,7625824,738964,2415244,7625824,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,7,Lane Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,"Albany, OR",Oregon,N,62074,2693.18,23.05,,25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,"Albany, OR",Oregon,N,62074,2693.18,23.05,,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,7,Lane Transit District,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,"Albany, OR",Oregon,N,62074,2693.18,23.05,,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,"Albany, OR",Oregon,N,62074,2693.18,23.05,,25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,7,Lane Transit District,Full Reporter,Urban,MB,DO, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
955,"Albany, OR",Oregon,Y,62074,2693.18,23.05,,61,City of Albany,Reduced Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,6555,15424,73297,0,817427,73297,0,817427,0,0,0,0,0,0,0,0
955,"Albany, OR",Oregon,Y,62074,2693.18,23.05,,61,City of Albany,Reduced Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,6082,36738,111966,0,806504,111966,0,806504,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,7,Lane Transit District,Full Reporter,Urban,MB,PT, Actual Data,,,5095,13050,111189,324203,509644,111189,324203,509644,0,0,0,0,0,0,0,0
6868,"Bend, OR",Oregon,Y,106988,2522.87,42.41,,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,CB,DO, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6868,"Bend, OR",Oregon,Y,106988,2522.87,42.41,,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,DO, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,7,Lane Transit District,Full Reporter,Urban,RB,DO, Actual Vehicle Revenue Miles, Actual Vehicle Revenue Miles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6868,"Bend, OR",Oregon,Y,106988,2522.87,42.41,,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,DR,PT, Actual Data,,,11646,30523,150687,81176,1591851,150687,81176,1591851,0,0,0,0,0,0,0,0
6868,"Bend, OR",Oregon,Y,106988,2522.87,42.41,,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,DO, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,7,Lane Transit District,Full Reporter,Urban,VP,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6868,"Bend, OR",Oregon,Y,106988,2522.87,42.41,,57,Central Oregon Intergovernmental Council,Full Reporter,Urban,MB,PT, Actual Data,,,19384,227573,255910,712331,3185492,255910,712331,3185492,0,0,0,0,0,0,0,0
20422,"Corvallis, OR",Oregon,N,66791,3826.86,17.45,,25,Salem Area Mass Transit District,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20422,"Corvallis, OR",Oregon,N,66791,3826.86,17.45,,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,8,Tri0County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20422,"Corvallis, OR",Oregon,N,66791,3826.86,17.45,,25,Salem Area Mass Transit District,Full Reporter,Urban,MB,PT, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,8,Tri0County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TN, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20422,"Corvallis, OR",Oregon,N,66791,3826.86,17.45,,25,Salem Area Mass Transit District,Full Reporter,Urban,VP,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,8,Tri0County Metropolitan Transportation District of Oregon,Full Reporter,Urban,DR,TX, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20422,"Corvallis, OR",Oregon,Y,66791,3826.86,17.45,,47,City of Corvallis,Reduced Reporter,Urban,MB,PT, Actual Data,,,34591,830608,355386,0,4011760,355386,0,4011760,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,8,Tri0County Metropolitan Transportation District of Oregon,Full Reporter,Urban,LR,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20422,"Corvallis, OR",Oregon,N,66791,3826.86,17.45,,61,City of Albany,Reduced Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,8,Tri0County Metropolitan Transportation District of Oregon,Full Reporter,Urban,MB,DO, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20422,"Corvallis, OR",Oregon,N,66791,3826.86,17.45,,61,City of Albany,Reduced Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,7240,43736,133293,0,960125,133293,0,960125,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,N,1553447,0,0,,8,Tri0County Metropolitan Transportation District of Oregon,Full Reporter,Urban,YR,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,Y,1895776,0,0,,9,Kalispel Tribe of Indians,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,87495,0,0,87495,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,Y,1553447,0,0,,10,Klamath Tribes,Reduced Reporter,Tribe,CB,DO, Actual Data,,,3704,8405,85120,0,553159,85120,0,553159,0,0,0,0,0,0,0,0
41,Oregon Non0UZA,Oregon,Y,1553447,0,0,,10,Klamath Tribes,Reduced Reporter,Tribe,DR,DO, Actual Data,,,3189,2564,79952,0,350378,79952,0,350378,0,0,0,0,0,0,0,0
16,Idaho Non0UZA,Idaho,N,836252,0,0,,11,Valley Regional Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8785,"Boise City, ID",Idaho,Y,433180,3111.25,139.23,,11,Valley Regional Transit,Full Reporter,Urban,DR,DO, Actual Vehicle Revenue Miles,,,3468,6477,46414,40809,212202,46414,40809,212202,0,0,0,0,0,0,0,0
8785,"Boise City, ID",Idaho,Y,433180,3111.25,139.23,,11,Valley Regional Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,23413,54437,331121,292912,3524156,331121,292912,3524156,0,0,0,0,0,0,0,0
16,Idaho Non0UZA,Idaho,N,836252,0,0,,11,Valley Regional Transit,Full Reporter,Urban,DR,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8785,"Boise City, ID",Idaho,Y,433180,3111.25,139.23,,11,Valley Regional Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,65015,787724,1076716,3103276,11564821,1076716,3103276,11564821,0,0,0,0,0,0,0,0
8785,"Boise City, ID",Idaho,Y,433180,3111.25,139.23,,415,Ada County Highway District,Full Reporter,Urban,VP,DO, Other,,,13534,60484,643358,2349143,574452,643358,2349143,574452,0,0,0,0,0,0,0,0
16,Idaho Non0UZA,Idaho,N,836252,0,0,,11,Valley Regional Transit,Full Reporter,Urban,MB,PT, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8785,"Boise City, ID",Idaho,Y,433180,3111.25,139.23,,416,Boise State University,Reduced Reporter,Urban,MB,DO, Actual Data,,,19148,151658,128744,0,635858,128744,0,635858,0,0,0,0,0,0,0,0
18451,"Coeur d'Alene, ID",Idaho,Y,121831,2605.69,46.76,,53,Coeur d'Alene Tribe,Reduced Reporter,Tribe,DR,DO, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska Non0UZA,Alaska,N,359299,0,0,,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2305,"Anchorage, AK",Alaska,Y,249252,2718.45,91.69,,12,Municipality of Anchorage,Full Reporter,Urban,DR,PT, Actual Data,,,67527,153737,842374,998596,6604490,842374,998596,6604490,0,0,0,0,0,0,0,0
2,Alaska Non0UZA,Alaska,N,359299,0,0,,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO, Actual Vehicle Revenue Miles,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2305,"Anchorage, AK",Alaska,Y,249252,2718.45,91.69,,12,Municipality of Anchorage,Full Reporter,Urban,MB,DO, Actual Data,,,190316,2745046,2278774,10797599,31188084,2278774,10797599,31188084,0,0,0,0,0,0,0,0
2,Alaska Non0UZA,Alaska,N,359299,0,0,,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT, Actual Data,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2305,"Anchorage, AK",Alaska,Y,249252,2718.45,91.69,,12,Municipality of Anchorage,Full Reporter,Urban,VP,PT, Actual Data,,,39771,219094,1899042,8795173,1227311,1899042,8795173,1227311,0,0,0,0,0,0,0,0
2,Alaska Non0UZA,Alaska,Y,359299,0,0,,14,Sitka Tribe of Alaska,Reduced Reporter,Tribe,MB,DO, Actual Vehicle Revenue Miles,,,7224,56698,102199,0,1181081,102199,0,1181081,0,0,0,0,0,0,0,0
53,Washington Non0UZA,Washington,Y,1895776,0,0,,15,Snoqualmie Indian Tribe,Reduced Reporter,Tribe,DR,DO, Actual Data,,,754,332,14919,0,230731,14919,0,230731,0,0,0,0,0,0,0,0
