"uace_code","uza_name","agency_name","reporting_module","mode","tos","total_operating_expenses","non_fixed_guideway_operating_expenses","fixed_guideway_operating_expenses"
80389,"Seattle00Tacoma, WA","King County","Urban","DR","PT","72095003","72095003","0"
53,"Washington Non0UZA","King County","Urban","DR","PT","0","0","0"
80389,"Seattle00Tacoma, WA","King County","Urban","DR","TX","5658724","5658724","0"
53,"Washington Non0UZA","King County","Urban","DR","TX","0","0","0"
80389,"Seattle00Tacoma, WA","King County","Urban","FB","DO","8625721","0","8625721"
53,"Washington Non0UZA","King County","Urban","FB","DO","0","0","0"
80389,"Seattle00Tacoma, WA","King County","Urban","MB","DO","710359423","689088683","21270740"
53,"Washington Non0UZA","King County","Urban","MB","DO","0","0","0"
80389,"Seattle00Tacoma, WA","King County","Urban","MB","PT","15507155","15507155","0"
53,"Washington Non0UZA","King County","Urban","MB","PT","0","0","0"
80389,"Seattle00Tacoma, WA","King County","Urban","SR","DO","13964269","0","13964269"
53,"Washington Non0UZA","King County","Urban","SR","DO","0","0","0"
80389,"Seattle00Tacoma, WA","King County","Urban","TB","DO","92304429","0","92304429"
53,"Washington Non0UZA","King County","Urban","TB","DO","0","0","0"
80389,"Seattle00Tacoma, WA","King County","Urban","VP","DO","10179899","10179899","0"
53,"Washington Non0UZA","King County","Urban","VP","DO","0","0","0"
53,"Washington Non0UZA","Spokane Transit Authority","Urban","DR","DO","27919","27919","0"
83764,"Spokane, WA","Spokane Transit Authority","Urban","DR","DO","13931872","13931872","0"
53,"Washington Non0UZA","Spokane Transit Authority","Urban","DR","PT","13990","13990","0"
83764,"Spokane, WA","Spokane Transit Authority","Urban","DR","PT","6981824","6981824","0"
53,"Washington Non0UZA","Spokane Transit Authority","Urban","MB","DO","3383225","3383225","0"
83764,"Spokane, WA","Spokane Transit Authority","Urban","MB","DO","83366134","83366134","0"
53,"Washington Non0UZA","Spokane Transit Authority","Urban","VP","DO","409705","409705","0"
83764,"Spokane, WA","Spokane Transit Authority","Urban","VP","DO","368861","368861","0"
80389,"Seattle00Tacoma, WA","Pierce County Transportation Benefit Area Authority","Urban","DR","DO","3337404","3337404","0"
80389,"Seattle00Tacoma, WA","Pierce County Transportation Benefit Area Authority","Urban","DR","PT","15308323","15308323","0"
80389,"Seattle00Tacoma, WA","Pierce County Transportation Benefit Area Authority","Urban","MB","DO","76259695","76259695","0"
80389,"Seattle00Tacoma, WA","Pierce County Transportation Benefit Area Authority","Urban","VP","DO","4524209","4524209","0"
53,"Washington Non0UZA","Confederated Tribes of the Colville Indian Reservation","Tribe","FB","DO","2175505","2175505","0"
53,"Washington Non0UZA","Confederated Tribes of the Colville Indian Reservation","Tribe","MB","DO","231960","231960","0"
80389,"Seattle00Tacoma, WA","City of Everett","Urban","DR","DO","6550415","6550415","0"
80389,"Seattle00Tacoma, WA","City of Everett","Urban","MB","DO","20785261","20785261","0"
53,"Washington Non0UZA","City of Yakima","Urban","CB","PT","282267","282267","0"
97507,"Yakima, WA","City of Yakima","Urban","CB","PT","423392","423392","0"
53,"Washington Non0UZA","City of Yakima","Urban","DR","PT","0","0","0"
97507,"Yakima, WA","City of Yakima","Urban","DR","PT","1841665","1841665","0"
53,"Washington Non0UZA","City of Yakima","Urban","MB","DO","0","0","0"
97507,"Yakima, WA","City of Yakima","Urban","MB","DO","7625824","7625824","0"
41,"Oregon Non0UZA","Lane Transit District","Urban","DR","PT","0","0","0"
28117,"Eugene, OR","Lane Transit District","Urban","DR","PT","4674885","4674885","0"
78229,"Salem, OR","Lane Transit District","Urban","DR","PT","0","0","0"
41,"Oregon Non0UZA","Lane Transit District","Urban","DR","TX","0","0","0"
28117,"Eugene, OR","Lane Transit District","Urban","DR","TX","6682461","6682461","0"
78229,"Salem, OR","Lane Transit District","Urban","DR","TX","0","0","0"
41,"Oregon Non0UZA","Lane Transit District","Urban","MB","DO","0","0","0"
28117,"Eugene, OR","Lane Transit District","Urban","MB","DO","39182127","39182127","0"
78229,"Salem, OR","Lane Transit District","Urban","MB","DO","0","0","0"
41,"Oregon Non0UZA","Lane Transit District","Urban","MB","PT","509644","509644","0"
28117,"Eugene, OR","Lane Transit District","Urban","MB","PT","0","0","0"
78229,"Salem, OR","Lane Transit District","Urban","MB","PT","0","0","0"
41,"Oregon Non0UZA","Lane Transit District","Urban","RB","DO","0","0","0"
28117,"Eugene, OR","Lane Transit District","Urban","RB","DO","14245853","0","14245853"
78229,"Salem, OR","Lane Transit District","Urban","RB","DO","0","0","0"
41,"Oregon Non0UZA","Lane Transit District","Urban","VP","PT","0","0","0"
28117,"Eugene, OR","Lane Transit District","Urban","VP","PT","97049","97049","0"
78229,"Salem, OR","Lane Transit District","Urban","VP","PT","36612","36612","0"
71317,"Portland, OR00WA","Tri0County Metropolitan Transportation District of Oregon","Urban","DR","PT","41651594","41651594","0"
41,"Oregon Non0UZA","Tri0County Metropolitan Transportation District of Oregon","Urban","DR","PT","0","0","0"
71317,"Portland, OR00WA","Tri0County Metropolitan Transportation District of Oregon","Urban","DR","TN","238366","238366","0"
41,"Oregon Non0UZA","Tri0County Metropolitan Transportation District of Oregon","Urban","DR","TN","0","0","0"
71317,"Portland, OR00WA","Tri0County Metropolitan Transportation District of Oregon","Urban","DR","TX","3775701","3775701","0"
41,"Oregon Non0UZA","Tri0County Metropolitan Transportation District of Oregon","Urban","DR","TX","0","0","0"
71317,"Portland, OR00WA","Tri0County Metropolitan Transportation District of Oregon","Urban","LR","DO","210004456","0","210004456"
41,"Oregon Non0UZA","Tri0County Metropolitan Transportation District of Oregon","Urban","LR","DO","0","0","0"
71317,"Portland, OR00WA","Tri0County Metropolitan Transportation District of Oregon","Urban","MB","DO","371074114","357845107","13229007"
41,"Oregon Non0UZA","Tri0County Metropolitan Transportation District of Oregon","Urban","MB","DO","0","0","0"
71317,"Portland, OR00WA","Tri0County Metropolitan Transportation District of Oregon","Urban","YR","PT","10472327","0","10472327"
41,"Oregon Non0UZA","Tri0County Metropolitan Transportation District of Oregon","Urban","YR","PT","0","0","0"
53,"Washington Non0UZA","Kalispel Tribe of Indians","Tribe","MB","DO","87495","87495","0"
41,"Oregon Non0UZA","Klamath Tribes","Tribe","CB","DO","553159","553159","0"
41,"Oregon Non0UZA","Klamath Tribes","Tribe","DR","DO","350378","350378","0"
16,"Idaho Non0UZA","Valley Regional Transit","Urban","DR","DO","0","0","0"
8785,"Boise City, ID","Valley Regional Transit","Urban","DR","DO","212202","212202","0"
60976,"Nampa, ID","Valley Regional Transit","Urban","DR","DO","0","0","0"
16,"Idaho Non0UZA","Valley Regional Transit","Urban","DR","PT","0","0","0"
8785,"Boise City, ID","Valley Regional Transit","Urban","DR","PT","3524156","3524156","0"
60976,"Nampa, ID","Valley Regional Transit","Urban","DR","PT","2982358","2982358","0"
16,"Idaho Non0UZA","Valley Regional Transit","Urban","MB","PT","0","0","0"
8785,"Boise City, ID","Valley Regional Transit","Urban","MB","PT","11564821","11564821","0"
60976,"Nampa, ID","Valley Regional Transit","Urban","MB","PT","2958164","2958164","0"
2,"Alaska Non0UZA","Municipality of Anchorage","Urban","DR","PT","0","0","0"
2305,"Anchorage, AK","Municipality of Anchorage","Urban","DR","PT","6604490","6604490","0"
2,"Alaska Non0UZA","Municipality of Anchorage","Urban","MB","DO","0","0","0"
2305,"Anchorage, AK","Municipality of Anchorage","Urban","MB","DO","31188084","31188084","0"
2,"Alaska Non0UZA","Municipality of Anchorage","Urban","VP","PT","0","0","0"
2305,"Anchorage, AK","Municipality of Anchorage","Urban","VP","PT","1227311","1227311","0"
2,"Alaska Non0UZA","Sitka Tribe of Alaska","Tribe","MB","DO","1181081","1181081","0"
53,"Washington Non0UZA","Snoqualmie Indian Tribe","Tribe","DR","DO","230731","230731","0"
51283,"Longview, WA00OR","City of Longview","Urban","CB","DO","45846","45846","0"
51283,"Longview, WA00OR","City of Longview","Urban","DR","PT","1594683","1594683","0"
51283,"Longview, WA00OR","City of Longview","Urban","MB","DO","4236468","4236468","0"
53,"Washington Non0UZA","Stillaguamish Tribe of Indians","Tribe","DR","DO","249036","249036","0"
55333,"Marysville, WA","Stillaguamish Tribe of Indians","Tribe","DR","DO","135531","135531","0"
53,"Washington Non0UZA","Ben Franklin Transit","Urban","DR","DO","0",NULL,NULL
44479,"Kennewick00Richland00Pasco, WA","Ben Franklin Transit","Urban","DR","DO","13679233","13679233","0"
53,"Washington Non0UZA","Ben Franklin Transit","Urban","DR","PT","0",NULL,NULL
44479,"Kennewick00Richland00Pasco, WA","Ben Franklin Transit","Urban","DR","PT","4134143","4134143","0"
53,"Washington Non0UZA","Ben Franklin Transit","Urban","MB","DO","0",NULL,NULL
44479,"Kennewick00Richland00Pasco, WA","Ben Franklin Transit","Urban","MB","DO","27434086","27434086","0"
53,"Washington Non0UZA","Ben Franklin Transit","Urban","VP","DO","0",NULL,NULL
44479,"Kennewick00Richland00Pasco, WA","Ben Franklin Transit","Urban","VP","DO","1962788","1962788","0"
80389,"Seattle00Tacoma, WA","Intercity Transit","Urban","CB","DO","2337751","2337751","0"
53,"Washington Non0UZA","Intercity Transit","Urban","CB","DO","0","0","0"
65242,"Olympia00Lacey, WA","Intercity Transit","Urban","CB","DO","0","0","0"
80389,"Seattle00Tacoma, WA","Intercity Transit","Urban","DR","DO","0","0","0"
53,"Washington Non0UZA","Intercity Transit","Urban","DR","DO","0","0","0"
16,"Idaho Non0UZA","Regional Public Transportation, Inc.","Rural","MB","DO","502367",NULL,NULL
65242,"Olympia00Lacey, WA","Intercity Transit","Urban","DR","DO","18109913","18109913","0"
80389,"Seattle00Tacoma, WA","Intercity Transit","Urban","MB","DO","0","0","0"
53,"Washington Non0UZA","Intercity Transit","Urban","MB","DO","0","0","0"
65242,"Olympia00Lacey, WA","Intercity Transit","Urban","MB","DO","42160796","42160796","0"
80389,"Seattle00Tacoma, WA","Intercity Transit","Urban","VP","DO","1507446","1507446","0"
53,"Washington Non0UZA","Intercity Transit","Urban","VP","DO","0","0","0"
65242,"Olympia00Lacey, WA","Intercity Transit","Urban","VP","DO","1507449","1507449","0"
80389,"Seattle00Tacoma, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","DR","DO","0","0","0"
53,"Washington Non0UZA","Kitsap County Public Transportation Benefit Area Authority","Urban","DR","DO","0","0","0"
9946,"Bremerton, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","DR","DO","16805992","16805992","0"
80389,"Seattle00Tacoma, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","DR","TX","0","0","0"
53,"Washington Non0UZA","Kitsap County Public Transportation Benefit Area Authority","Urban","DR","TX","0","0","0"
9946,"Bremerton, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","DR","TX","283244","283244","0"
80389,"Seattle00Tacoma, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","FB","DO","7406832","0","7406832"
53,"Washington Non0UZA","Kitsap County Public Transportation Benefit Area Authority","Urban","FB","DO","0","0","0"
9946,"Bremerton, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","FB","DO","10807680","0","10807680"
80389,"Seattle00Tacoma, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","MB","DO","0","0","0"
53,"Washington Non0UZA","Kitsap County Public Transportation Benefit Area Authority","Urban","MB","DO","0","0","0"
9946,"Bremerton, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","MB","DO","31622708","31622708","0"
80389,"Seattle00Tacoma, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","VP","DO","535044","535044","0"
53,"Washington Non0UZA","Kitsap County Public Transportation Benefit Area Authority","Urban","VP","DO","0","0","0"
9946,"Bremerton, WA","Kitsap County Public Transportation Benefit Area Authority","Urban","VP","DO","713311","713311","0"
53,"Washington Non0UZA","Whatcom Transportation Authority","Urban","DR","DO","0","0","0"
6652,"Bellingham, WA","Whatcom Transportation Authority","Urban","DR","DO","14656976","14656976","0"
53,"Washington Non0UZA","Whatcom Transportation Authority","Urban","MB","DO","0","0","0"
6652,"Bellingham, WA","Whatcom Transportation Authority","Urban","MB","DO","29021449","29021449","0"
53,"Washington Non0UZA","Whatcom Transportation Authority","Urban","VP","DO","0","0","0"
6652,"Bellingham, WA","Whatcom Transportation Authority","Urban","VP","DO","164890","164890","0"
16,"Idaho Non0UZA","City of Pocatello","Urban","DR","DO","1082781","1082781","0"
70426,"Pocatello, ID","City of Pocatello","Urban","DR","DO","640502","640502","0"
16,"Idaho Non0UZA","City of Pocatello","Urban","MB","DO","0","0","0"
70426,"Pocatello, ID","City of Pocatello","Urban","MB","DO","1187300","1187300","0"
80389,"Seattle00Tacoma, WA","City of Seattle","Urban","MG","PT","6327832","0","6327832"
41,"Oregon Non0UZA","Senior Citizens of Sweet Home, Inc.","Rural","CB","DO","948455",NULL,NULL
71317,"Portland, OR00WA","Clark County Public Transportation Benefit Area Authority","Urban","DR","DO","17564335","17564335","0"
53,"Washington Non0UZA","Clark County Public Transportation Benefit Area Authority","Urban","DR","DO","0","0","0"
51283,"Longview, WA00OR","Clark County Public Transportation Benefit Area Authority","Urban","DR","DO","0","0","0"
71317,"Portland, OR00WA","Clark County Public Transportation Benefit Area Authority","Urban","MB","DO","51325849","51325849","0"
53,"Washington Non0UZA","Clark County Public Transportation Benefit Area Authority","Urban","MB","DO","0","0","0"
51283,"Longview, WA00OR","Clark County Public Transportation Benefit Area Authority","Urban","MB","DO","0","0","0"
71317,"Portland, OR00WA","Clark County Public Transportation Benefit Area Authority","Urban","VP","DO","375071","375071","0"
53,"Washington Non0UZA","Clark County Public Transportation Benefit Area Authority","Urban","VP","DO","0","0","0"
51283,"Longview, WA00OR","Clark County Public Transportation Benefit Area Authority","Urban","VP","DO","0","0","0"
71317,"Portland, OR00WA","Salem Area Mass Transit District","Urban","DR","PT","0","0","0"
41,"Oregon Non0UZA","Salem Area Mass Transit District","Urban","DR","PT","0","0","0"
78229,"Salem, OR","Salem Area Mass Transit District","Urban","DR","PT","4502561","4502561","0"
20422,"Corvallis, OR","Salem Area Mass Transit District","Urban","DR","PT","0","0","0"
955,"Albany, OR","Salem Area Mass Transit District","Urban","DR","PT","0","0","0"
71317,"Portland, OR00WA","Salem Area Mass Transit District","Urban","MB","DO","0","0","0"
41,"Oregon Non0UZA","Salem Area Mass Transit District","Urban","MB","DO","0","0","0"
78229,"Salem, OR","Salem Area Mass Transit District","Urban","MB","DO","37364843","37364843","0"
20422,"Corvallis, OR","Salem Area Mass Transit District","Urban","MB","DO","0","0","0"
955,"Albany, OR","Salem Area Mass Transit District","Urban","MB","DO","0","0","0"
71317,"Portland, OR00WA","Salem Area Mass Transit District","Urban","MB","PT","0","0","0"
41,"Oregon Non0UZA","Salem Area Mass Transit District","Urban","MB","PT","1866840","1866840","0"
78229,"Salem, OR","Salem Area Mass Transit District","Urban","MB","PT","496250","496250","0"
20422,"Corvallis, OR","Salem Area Mass Transit District","Urban","MB","PT","0","0","0"
955,"Albany, OR","Salem Area Mass Transit District","Urban","MB","PT","0","0","0"
71317,"Portland, OR00WA","Salem Area Mass Transit District","Urban","VP","PT","0","0","0"
41,"Oregon Non0UZA","Salem Area Mass Transit District","Urban","VP","PT","0","0","0"
78229,"Salem, OR","Salem Area Mass Transit District","Urban","VP","PT","446738","446738","0"
20422,"Corvallis, OR","Salem Area Mass Transit District","Urban","VP","PT","0","0","0"
955,"Albany, OR","Salem Area Mass Transit District","Urban","VP","PT","0","0","0"
80389,"Seattle00Tacoma, WA","County of Pierce","Urban","FB","PT","10753517","0","10753517"
80389,"Seattle00Tacoma, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","CB","DO","11403760","11403760","0"
53,"Washington Non0UZA","Snohomish County Public Transportation Benefit Area Corporation","Urban","CB","DO","0","0","0"
55333,"Marysville, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","CB","DO","0","0","0"
41,"Oregon Non0UZA","Senior Citizens of Sweet Home, Inc.","Rural","DR","DO","210184",NULL,NULL
80389,"Seattle00Tacoma, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","CB","PT","10901154","10901154","0"
53,"Washington Non0UZA","Snohomish County Public Transportation Benefit Area Corporation","Urban","CB","PT","0","0","0"
55333,"Marysville, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","CB","PT","0","0","0"
80389,"Seattle00Tacoma, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","DR","PT","8242596","8242596","0"
53,"Washington Non0UZA","Snohomish County Public Transportation Benefit Area Corporation","Urban","DR","PT","94527","94527","0"
55333,"Marysville, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","DR","PT","1069967","1069967","0"
80389,"Seattle00Tacoma, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","MB","DO","102646400","102646400","0"
53,"Washington Non0UZA","Snohomish County Public Transportation Benefit Area Corporation","Urban","MB","DO","0","0","0"
55333,"Marysville, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","MB","DO","13553878","13553878","0"
80389,"Seattle00Tacoma, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","VP","DO","5031019","5031019","0"
53,"Washington Non0UZA","Snohomish County Public Transportation Benefit Area Corporation","Urban","VP","DO","0","0","0"
55333,"Marysville, WA","Snohomish County Public Transportation Benefit Area Corporation","Urban","VP","DO","0","0","0"
2,"Alaska Non0UZA","Chickaloon Native Village","Tribe","DR","DO","128966","128966","0"
16,"Idaho Non0UZA","Shoshone0Bannock Tribes ","Tribe","MB","DO","602661","602661","0"
70426,"Pocatello, ID","Shoshone0Bannock Tribes ","Tribe","MB","DO","32429","32429","0"
80389,"Seattle00Tacoma, WA","Senior Services of Snohomish County","Urban","DR","DO","649279","649279","0"
53,"Washington Non0UZA","Senior Services of Snohomish County","Urban","DR","DO","973924","973924","0"
80389,"Seattle00Tacoma, WA","Senior Services of Snohomish County","Urban","MB","DO","0","0","0"
53,"Washington Non0UZA","Senior Services of Snohomish County","Urban","MB","DO","129216","129216","0"
41,"Oregon Non0UZA","Rogue Valley Transportation District","Urban","DR","PT","0","0","0"
55981,"Medford, OR","Rogue Valley Transportation District","Urban","DR","PT","2760324","2760324","0"
41,"Oregon Non0UZA","Rogue Valley Transportation District","Urban","MB","DO","0","0","0"
55981,"Medford, OR","Rogue Valley Transportation District","Urban","MB","DO","14585675","14585675","0"
80389,"Seattle00Tacoma, WA","Washington State Ferries","Urban","FB","DO","255103873","0","255103873"
53,"Washington Non0UZA","Washington State Ferries","Urban","FB","DO","83095267","0","83095267"
9946,"Bremerton, WA","Washington State Ferries","Urban","FB","DO","0","0","0"
53,"Washington Non0UZA","Makah Tribal Council","Tribe","MB","DO","172353","172353","0"
80389,"Seattle00Tacoma, WA","Central Puget Sound Regional Transit Authority","Urban","CB","DO","117930653","116945015","985638"
53,"Washington Non0UZA","Central Puget Sound Regional Transit Authority","Urban","CB","DO","0","0","0"
80389,"Seattle00Tacoma, WA","Central Puget Sound Regional Transit Authority","Urban","CB","PT","24204975","24204975","0"
53,"Washington Non0UZA","Central Puget Sound Regional Transit Authority","Urban","CB","PT","0","0","0"
80389,"Seattle00Tacoma, WA","Central Puget Sound Regional Transit Authority","Urban","CR","PT","76112396","0","76112396"
41,"Oregon Non0UZA","Senior Citizens of Sweet Home, Inc.","Rural","MB","DO","102938",NULL,NULL
53,"Washington Non0UZA","Central Puget Sound Regional Transit Authority","Urban","CR","PT","0","0","0"
80389,"Seattle00Tacoma, WA","Central Puget Sound Regional Transit Authority","Urban","LR","DO","238812404","0","238812404"
53,"Washington Non0UZA","Central Puget Sound Regional Transit Authority","Urban","LR","DO","0","0","0"
80389,"Seattle00Tacoma, WA","Central Puget Sound Regional Transit Authority","Urban","SR","DO","12836006","0","12836006"
53,"Washington Non0UZA","Central Puget Sound Regional Transit Authority","Urban","SR","DO","0","0","0"
2,"Alaska Non0UZA","Alaska Railroad Corporation","Urban","AR","DO","41098158","0","41098158"
2305,"Anchorage, AK","Alaska Railroad Corporation","Urban","AR","DO","17739718","0","17739718"
