Mode,UACE Code,UZA Name,State, Population ,Density, Square Miles ,State NTD ID,Agency Name,Reporting Module
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,,City of Montgomery,Urban
TB,1,Alabama Non0UZA,Alabama,2587288,0,0,,City of Montgomery,Urban
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,,Tuscaloosa County Parking and Transit Authority,Urban
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,,Tuscaloosa County Parking and Transit Authority,Urban
SR,1,Alabama Non0UZA,Alabama,2587288,0,0,,East Alabama Regional Planning and Development Commission,Urban
VP,1,Alabama Non0UZA,Alabama,2587288,0,0,,East Alabama Regional Planning and Development Commission,Urban
FB,1,Alabama Non0UZA,Alabama,2587288,0,0,,Northwest Alabama Council of Local Governments,Urban
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,,Northwest Alabama Council of Local Governments,Urban
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,,Lee0Russell Council of Governments,Urban
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,,Lee0Russell Council of Governments,Urban
FB,1,Alabama Non0UZA,Alabama,2587288,0,0,,Southeast Alabama Regional Planning and Development Commission,Urban
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,,Southeast Alabama Regional Planning and Development Commission,Urban
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,,Southeast Alabama Regional Planning and Development Commission,Urban
SR,1,Alabama Non0UZA,Alabama,2587288,0,0,,Regional Planning Commission of Greater Birmingham,Urban
TB,1,Alabama Non0UZA,Alabama,2587288,0,0,,Autauga County ,Urban
VP,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Blount County Commission,Rural
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Escambia County Commission,Rural
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,,Baldwin County Commission,Urban
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Etowah County Commission,Rural
VP,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Madison County Commission,Rural
MB,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Cullman County Commission,Rural
VP,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,"H.EL.P., Inc. ",Rural
DR,1,Alabama Non0UZA,Alabama,2587288,0,0,4R01,Dekalb County Commission,Rural
