state_ntd_id,state
0R01,Idaho
0R01,Wyoming
0R02,Oregon
0R03,Oregon
0R03,Washington
0R04,Alaska
1R01,Connecticut
1R02,Massachusetts
1R03,Maine
1R04,New Hampshire
1R04,Vermont
1R06,Vermont
2R01,New Jersey
2R02,New York
3R03,Maryland
3R04,Pennsylvania
3R05,West Virginia
3R06,Florida
3R06,Virginia
4R01,Alabama
4R02,Florida
4R03,Georgia
4R04,Kentucky
4R05,Mississippi
4R06,North Carolina
4R07,South Carolina
4R08,Tennessee
4R09,Puerto Rico
5R01,Illinois
5R02,Indiana
5R03,Michigan
5R04,Minnesota
5R05,Ohio
5R06,Wisconsin
6R01,Arkansas 
6R02,Louisiana
6R03,New Mexico
6R04,Oklahoma
6R05,Texas
7R01,Iowa 
7R02,Kansas
7R03,Missouri
7R04,Nebraska
8R01,Colorado
8R02,Montana
8R03,North Dakota
8R04,South Dakota
8R05,Wyoming
8R06,Utah
9R01,Arizona
9R02,California
9R03,Hawaii
9R04,Nevada
9R06,Oceania
9R08,Northern Marianas
,Alabama
,Alaska
,Arizona
,Arkansas 
,California
,Colorado
,Connecticut
,Delaware
,Florida
,Georgia
,Hawaii
,Idaho
,Illinois
,Indiana
,Iowa 
,Kansas
,Kentucky
,Louisiana
,Maine
,Maryland
,Massachusetts
,Michigan
,Minnesota
,Mississippi
,Missouri
,Montana
,Nebraska
,Nevada
,New Hampshire
,New Jersey
,New Mexico
,New York
,North Carolina
,North Dakota
,Ohio
,Oklahoma
,Oregon
,Pennsylvania
,Rhode Island
,South Carolina
,South Dakota
,Tennessee
,Texas
,Utah
,Vermont
,Virginia
,Washington
,West Virginia
,Wisconsin
,Wyoming
,Guam
,Puerto Rico
,Virgin Islands
,Iowa
,Wisconson
,Arkansas
,Connecticut 
